id_siswa,usia,jenis_kelamin,jurusan,ipk,beban_mata_kuliah,rata_rata_nilai_mata_kuliah,tingkat_kehadiran,status_studi,login_lms_bulan_lalu,rata_rata_durasi_sesi_menit,tingkat_pengumpulan_tugas,jumlah_partisipasi_forum,tingkat_penyelesaian_video,tingkat_risiko
S245,24,Laki-laki,Seni,2.62,5,70.0,0.7,Aktif,37,34,0.69,12,0.52,Tinggi
S246,23,Laki-laki,Bisnis,2.46,3,73.7,0.63,Cuti,23,27,0.63,19,0.99,Tinggi
S247,18,Perempuan,Seni,2.92,3,94.1,0.65,Aktif,34,21,0.83,8,0.67,Tinggi
S248,18,Lainnya,Bisnis,3.56,4,82.4,0.94,Cuti,18,60,0.57,8,0.66,Rendah
S249,18,Laki-laki,Teknik,3.92,3,80.6,0.85,Aktif,5,48,0.76,15,0.95,Rendah
S250,20,Lainnya,Bisnis,3.53,6,64.0,0.7,Lulus,39,19,0.88,11,0.79,Tinggi
S251,23,Perempuan,Ilmu Komputer,3.71,6,60.6,0.82,Aktif,34,83,0.58,9,0.61,Sedang
S252,18,Perempuan,Bisnis,3.21,3,98.5,0.81,Aktif,3,86,0.88,5,0.94,Sedang
S253,21,Laki-laki,Ilmu Komputer,3.67,3,75.1,0.86,Aktif,32,63,0.88,17,1.0,Rendah
S254,22,Perempuan,Bisnis,3.57,3,84.1,0.69,Cuti,12,38,0.53,1,0.54,Tinggi
S255,18,Laki-laki,Seni,2.75,3,63.2,0.95,Lulus,35,50,0.51,19,0.93,Sedang
S256,20,Perempuan,Teknik,3.1,4,87.3,0.72,Cuti,18,18,0.99,8,0.7,Tinggi
S257,24,Perempuan,Ilmu Komputer,3.61,4,97.3,0.88,Cuti,11,72,0.6,18,0.76,Rendah
S258,23,Laki-laki,Bisnis,2.09,3,83.0,0.61,Aktif,10,86,0.91,5,0.96,Tinggi
S259,25,Laki-laki,Bisnis,3.62,6,65.0,0.75,Cuti,5,46,0.78,1,0.99,Sedang
S260,20,Laki-laki,Bisnis,2.36,4,83.3,0.74,Aktif,11,23,0.63,14,0.63,Tinggi
S261,18,Perempuan,Seni,3.03,6,90.7,0.82,Lulus,26,82,0.56,16,0.61,Sedang
S262,23,Perempuan,Seni,3.62,5,76.3,0.63,Cuti,24,81,0.75,15,0.54,Tinggi
S263,22,Lainnya,Ilmu Komputer,2.51,6,95.2,0.92,Cuti,2,48,0.7,7,0.78,Sedang
S264,18,Laki-laki,Ilmu Komputer,2.49,3,85.9,0.69,Cuti,2,49,0.85,9,0.51,Tinggi
S265,20,Perempuan,Seni,2.81,5,96.0,0.87,Aktif,19,63,0.95,9,0.71,Sedang
S266,19,Perempuan,Ilmu Komputer,3.79,4,84.9,0.92,Aktif,27,12,0.9,17,0.54,Rendah
S267,21,Laki-laki,Teknik,2.0,4,65.3,0.82,Cuti,22,64,0.64,9,0.7,Tinggi
S268,25,Lainnya,Teknik,3.8,5,72.4,0.9,Cuti,2,42,0.94,8,0.52,Rendah
S269,24,Laki-laki,Seni,2.31,6,68.1,0.86,Lulus,23,80,0.92,18,0.92,Tinggi
S270,20,Lainnya,Ilmu Komputer,3.98,4,96.4,0.74,Lulus,39,28,0.96,0,0.6,Tinggi
S271,23,Perempuan,Bisnis,3.91,3,90.4,0.92,Lulus,5,43,0.73,3,0.66,Rendah
S272,25,Lainnya,Teknik,2.99,5,87.1,0.72,Lulus,19,87,0.88,2,0.94,Tinggi
S273,25,Perempuan,Seni,3.03,3,72.0,0.83,Lulus,10,59,0.8,9,0.87,Sedang
S274,25,Laki-laki,Ilmu Komputer,2.96,5,67.4,0.9,Aktif,31,56,0.66,11,0.61,Sedang
S275,18,Laki-laki,Seni,3.27,4,90.3,0.75,Lulus,26,55,1.0,17,0.54,Sedang
S276,21,Laki-laki,Bisnis,2.18,6,79.0,0.72,Lulus,20,65,0.52,19,0.86,Tinggi
S277,18,Lainnya,Teknik,2.07,5,69.0,0.78,Cuti,12,66,0.58,5,0.7,Tinggi
S278,23,Perempuan,Seni,2.12,5,84.7,0.93,Aktif,21,60,0.95,1,0.88,Tinggi
S279,18,Laki-laki,Seni,2.89,3,61.6,0.97,Lulus,34,63,0.53,9,0.72,Sedang
S280,19,Laki-laki,Seni,2.55,4,73.0,0.82,Lulus,21,37,0.94,1,0.67,Sedang
S281,21,Perempuan,Bisnis,3.24,3,78.7,0.86,Lulus,27,28,0.86,8,0.73,Rendah
S282,21,Laki-laki,Seni,3.98,4,65.9,0.96,Cuti,20,36,0.52,9,0.87,Rendah
S283,23,Perempuan,Bisnis,2.77,3,99.4,0.64,Cuti,17,57,0.71,1,0.95,Tinggi
S284,24,Perempuan,Bisnis,3.15,5,68.4,0.69,Cuti,30,28,0.88,7,0.52,Tinggi
S285,19,Perempuan,Bisnis,2.83,3,65.2,0.88,Lulus,36,60,0.79,16,0.76,Sedang
S286,20,Perempuan,Teknik,3.69,6,68.1,0.93,Cuti,20,16,0.97,16,0.52,Rendah
S287,18,Perempuan,Teknik,3.8,4,90.8,0.94,Lulus,13,38,0.93,3,0.73,Rendah
S288,22,Lainnya,Seni,3.75,4,77.0,0.77,Aktif,24,52,0.67,17,0.94,Sedang
S289,18,Laki-laki,Seni,3.95,5,82.6,0.64,Lulus,26,78,0.54,11,0.68,Tinggi
S290,25,Lainnya,Teknik,2.06,4,60.8,0.78,Cuti,39,67,0.97,16,0.97,Tinggi
S291,18,Laki-laki,Ilmu Komputer,3.68,6,61.4,0.69,Aktif,22,17,0.76,8,0.82,Tinggi
S292,20,Lainnya,Teknik,3.5,3,77.8,0.72,Lulus,30,51,0.54,18,0.97,Tinggi
S293,18,Perempuan,Bisnis,2.46,5,92.7,0.91,Aktif,28,85,0.91,13,0.88,Tinggi
S294,19,Laki-laki,Teknik,3.91,6,95.4,0.63,Aktif,29,51,0.93,13,0.55,Tinggi
S295,19,Laki-laki,Bisnis,2.3,4,63.5,0.93,Aktif,25,22,0.82,16,0.62,Tinggi
S296,21,Lainnya,Seni,3.36,4,81.5,0.77,Lulus,19,35,0.72,1,0.7,Sedang
S297,23,Lainnya,Ilmu Komputer,2.45,6,96.5,0.84,Cuti,37,27,0.83,7,0.59,Tinggi
S298,24,Laki-laki,Seni,2.86,3,75.5,0.64,Lulus,18,51,0.85,4,0.75,Tinggi
S299,22,Lainnya,Bisnis,3.44,3,93.2,0.73,Cuti,26,60,0.95,6,0.74,Tinggi
S300,25,Lainnya,Bisnis,3.13,5,65.3,0.64,Lulus,24,25,0.98,15,0.98,Tinggi
S301,18,Lainnya,Bisnis,2.86,4,97.4,0.98,Lulus,39,12,0.76,15,0.72,Sedang
S302,18,Perempuan,Ilmu Komputer,2.65,6,90.1,0.92,Lulus,37,88,0.9,16,0.89,Sedang
S303,20,Perempuan,Teknik,3.68,3,97.7,0.78,Cuti,22,54,0.98,6,0.97,Sedang
S304,23,Lainnya,Seni,2.29,5,87.1,0.69,Lulus,28,31,0.58,19,0.94,Tinggi
S305,19,Lainnya,Seni,2.86,4,74.5,0.97,Aktif,14,32,0.51,7,0.6,Sedang
S306,22,Perempuan,Teknik,3.81,4,97.5,0.74,Lulus,2,68,0.93,7,0.75,Tinggi
S307,21,Perempuan,Seni,3.69,5,71.0,0.66,Aktif,9,71,0.6,10,0.67,Tinggi
S308,19,Laki-laki,Ilmu Komputer,2.8,5,73.3,0.83,Cuti,14,77,0.52,14,0.7,Sedang
S309,25,Laki-laki,Seni,3.53,3,88.0,0.98,Cuti,15,63,0.58,17,0.68,Rendah
S310,23,Perempuan,Bisnis,3.65,6,90.6,0.6,Lulus,16,66,0.69,5,0.91,Tinggi
S311,25,Lainnya,Teknik,3.78,4,97.2,0.7,Lulus,18,32,0.61,11,0.73,Tinggi
S312,24,Lainnya,Ilmu Komputer,3.09,6,68.2,0.98,Lulus,10,69,0.65,14,0.76,Rendah
S313,21,Lainnya,Teknik,2.41,4,91.9,0.67,Aktif,4,82,0.99,5,0.99,Tinggi
S314,24,Lainnya,Ilmu Komputer,2.51,4,89.5,0.65,Cuti,4,64,0.85,17,0.53,Tinggi
S315,20,Laki-laki,Bisnis,2.59,6,62.6,0.83,Aktif,13,89,0.86,19,0.74,Sedang
S316,25,Perempuan,Teknik,3.19,5,75.5,0.94,Aktif,25,72,0.55,8,0.89,Rendah
S317,20,Lainnya,Seni,2.07,3,71.3,0.79,Lulus,7,65,0.87,7,0.58,Tinggi
S318,18,Laki-laki,Ilmu Komputer,3.27,4,72.2,1.0,Lulus,4,64,0.87,13,0.81,Rendah
S319,24,Lainnya,Teknik,2.73,5,99.3,0.87,Aktif,6,34,0.83,18,0.62,Sedang
S320,23,Perempuan,Seni,2.59,4,85.7,0.63,Aktif,15,35,0.61,18,0.93,Tinggi
S321,25,Laki-laki,Teknik,3.76,3,88.7,1.0,Lulus,13,58,0.71,7,0.66,Rendah
S322,22,Perempuan,Teknik,2.92,4,99.1,0.76,Lulus,36,72,0.92,1,0.66,Sedang
S323,21,Perempuan,Teknik,2.19,3,75.1,0.71,Aktif,3,54,0.84,3,0.8,Tinggi
S324,19,Laki-laki,Ilmu Komputer,3.65,3,92.1,0.82,Lulus,35,82,0.87,5,0.59,Sedang
S325,23,Laki-laki,Seni,2.1,4,77.4,0.72,Lulus,16,88,0.79,2,0.64,Tinggi
S326,23,Laki-laki,Bisnis,3.45,4,94.8,0.63,Aktif,35,48,0.72,2,0.71,Tinggi
S327,20,Laki-laki,Ilmu Komputer,3.55,3,67.2,0.6,Aktif,5,74,0.88,18,0.68,Tinggi
S328,24,Laki-laki,Ilmu Komputer,2.71,5,97.9,0.78,Cuti,15,78,0.53,10,0.76,Sedang
S329,25,Laki-laki,Ilmu Komputer,3.65,6,68.8,0.93,Aktif,28,65,0.84,9,0.8,Rendah
S330,25,Laki-laki,Bisnis,3.03,3,73.0,0.83,Lulus,35,18,1.0,11,0.78,Sedang
S331,18,Lainnya,Seni,2.93,4,90.2,1.0,Aktif,37,79,0.89,13,0.83,Sedang
S332,18,Perempuan,Seni,2.09,4,75.8,0.71,Aktif,36,37,0.65,17,0.65,Tinggi
S333,21,Laki-laki,Seni,2.58,5,84.3,0.71,Aktif,9,54,0.64,8,0.56,Tinggi
S334,20,Lainnya,Teknik,3.86,6,77.8,0.66,Cuti,35,35,0.83,14,0.88,Tinggi
S335,23,Lainnya,Teknik,2.78,3,89.7,0.67,Cuti,28,37,0.95,2,0.93,Tinggi
S336,25,Lainnya,Teknik,3.09,3,69.1,0.71,Lulus,13,49,0.79,10,0.63,Tinggi
S337,22,Perempuan,Bisnis,3.06,6,62.3,0.92,Cuti,3,24,0.76,9,0.7,Rendah
S338,20,Laki-laki,Teknik,3.18,3,72.0,0.96,Aktif,35,15,0.58,17,0.75,Rendah
S339,21,Lainnya,Bisnis,2.12,6,79.0,0.99,Cuti,12,36,0.86,3,0.77,Tinggi
S340,21,Perempuan,Seni,2.72,4,66.7,0.69,Aktif,17,47,0.85,12,0.83,Tinggi
S341,20,Perempuan,Teknik,3.45,6,74.2,0.95,Cuti,32,77,0.98,5,0.52,Rendah
S342,21,Perempuan,Teknik,2.4,3,76.0,0.73,Cuti,20,84,0.65,12,0.86,Tinggi
S343,20,Lainnya,Ilmu Komputer,2.41,6,62.3,0.65,Cuti,15,73,0.88,19,0.53,Tinggi
S344,19,Laki-laki,Bisnis,2.02,5,83.3,0.95,Aktif,14,39,0.72,4,0.73,Tinggi
S345,20,Lainnya,Seni,2.87,4,95.4,0.85,Cuti,4,12,0.78,19,0.91,Sedang
S346,24,Lainnya,Ilmu Komputer,3.77,4,66.1,0.67,Aktif,5,71,0.91,13,0.73,Tinggi
S347,20,Laki-laki,Ilmu Komputer,2.1,6,83.9,0.77,Aktif,37,21,0.61,12,0.57,Tinggi
S348,21,Laki-laki,Seni,2.38,3,86.6,0.71,Lulus,2,39,0.67,13,0.99,Tinggi
S349,25,Laki-laki,Ilmu Komputer,2.62,5,76.8,0.89,Cuti,11,47,0.89,7,0.94,Sedang
S350,24,Perempuan,Bisnis,3.46,4,88.0,0.78,Lulus,35,69,0.79,15,0.89,Sedang
S351,21,Laki-laki,Bisnis,3.28,4,76.4,1.0,Lulus,32,47,0.55,12,0.71,Rendah
S352,18,Lainnya,Teknik,2.83,3,80.2,0.62,Aktif,35,24,0.72,14,0.59,Tinggi
S353,18,Laki-laki,Ilmu Komputer,3.52,3,60.3,0.74,Cuti,32,27,0.79,18,0.97,Tinggi
S354,25,Lainnya,Teknik,3.22,5,87.7,0.79,Aktif,30,61,0.95,0,0.77,Sedang
S355,25,Perempuan,Ilmu Komputer,3.79,6,86.5,0.8,Aktif,20,38,0.59,1,0.93,Sedang
S356,24,Lainnya,Bisnis,3.64,3,61.5,0.73,Cuti,26,69,0.9,17,0.67,Tinggi
S357,19,Lainnya,Bisnis,2.51,6,74.7,0.89,Aktif,26,30,0.57,18,0.67,Sedang
S358,25,Laki-laki,Bisnis,2.54,5,99.2,0.95,Cuti,7,26,0.62,7,0.99,Sedang
S359,18,Laki-laki,Ilmu Komputer,2.25,6,76.8,0.98,Cuti,36,27,0.62,2,0.76,Tinggi
S360,20,Lainnya,Bisnis,2.67,4,80.1,0.92,Aktif,31,66,0.94,13,0.57,Sedang
S361,21,Laki-laki,Ilmu Komputer,4.0,6,96.4,0.94,Aktif,25,46,0.6,8,0.61,Rendah
S362,18,Perempuan,Teknik,2.81,5,88.7,0.82,Lulus,1,69,0.89,7,0.74,Sedang
S363,18,Perempuan,Ilmu Komputer,2.44,5,83.3,0.93,Aktif,11,47,0.73,16,0.52,Tinggi
S364,19,Laki-laki,Teknik,3.52,5,91.9,0.72,Cuti,21,21,1.0,15,0.73,Tinggi
S365,24,Perempuan,Ilmu Komputer,3.08,6,94.6,0.76,Lulus,16,84,0.92,9,0.71,Sedang
S366,24,Laki-laki,Teknik,2.3,4,78.3,0.73,Cuti,6,82,0.87,9,0.89,Tinggi
S367,23,Lainnya,Bisnis,2.76,3,79.0,0.79,Lulus,3,10,0.94,5,0.68,Sedang
S368,19,Lainnya,Teknik,2.83,4,75.4,0.71,Aktif,36,67,0.82,16,0.99,Tinggi
S369,20,Perempuan,Bisnis,3.51,6,98.7,0.98,Aktif,37,12,0.92,15,0.59,Rendah
S370,24,Laki-laki,Bisnis,2.04,6,87.9,0.73,Aktif,31,72,0.63,14,0.8,Tinggi
S371,21,Laki-laki,Teknik,2.54,3,63.3,0.64,Cuti,10,30,0.55,13,0.54,Tinggi
S372,25,Perempuan,Ilmu Komputer,3.04,6,94.5,0.81,Lulus,0,32,0.81,3,0.87,Sedang
S373,19,Lainnya,Ilmu Komputer,2.54,5,79.2,0.62,Cuti,24,18,0.72,3,1.0,Tinggi
S374,25,Perempuan,Seni,3.26,5,62.8,0.64,Lulus,23,64,0.71,1,0.91,Tinggi
S375,18,Lainnya,Ilmu Komputer,2.96,5,82.0,0.69,Aktif,16,28,0.76,10,0.78,Tinggi
S376,21,Laki-laki,Seni,2.72,5,76.7,0.79,Cuti,7,71,0.68,3,0.74,Sedang
S377,21,Lainnya,Ilmu Komputer,3.9,5,95.1,0.77,Aktif,26,48,0.81,15,0.92,Sedang
S378,18,Perempuan,Ilmu Komputer,3.26,6,68.2,0.92,Cuti,17,85,0.52,3,0.97,Rendah
S379,19,Laki-laki,Bisnis,2.26,3,93.1,0.9,Aktif,26,36,0.98,0,0.99,Tinggi
S380,18,Perempuan,Seni,3.12,3,82.3,0.77,Cuti,21,55,0.96,18,0.7,Sedang
S381,25,Perempuan,Ilmu Komputer,3.56,5,62.2,0.73,Cuti,15,43,0.97,1,1.0,Tinggi
S382,23,Lainnya,Seni,3.42,6,98.9,0.73,Lulus,1,42,0.68,8,0.58,Tinggi
S383,21,Perempuan,Bisnis,2.34,4,80.5,0.91,Aktif,4,59,0.77,12,0.63,Tinggi
S384,22,Lainnya,Bisnis,3.94,4,71.6,0.62,Lulus,17,29,0.98,17,0.54,Tinggi
S385,22,Laki-laki,Seni,2.9,6,78.8,0.61,Lulus,2,49,0.95,15,0.64,Tinggi
S386,25,Lainnya,Bisnis,2.32,5,94.3,0.92,Aktif,26,67,0.9,15,0.88,Tinggi
S387,20,Laki-laki,Teknik,2.36,3,72.2,0.79,Cuti,16,40,0.7,9,0.93,Tinggi
S388,24,Lainnya,Teknik,2.2,6,67.7,0.65,Lulus,15,47,0.78,8,0.89,Tinggi
S389,18,Perempuan,Bisnis,3.61,4,65.2,0.69,Aktif,5,54,0.9,10,0.82,Tinggi
S390,18,Lainnya,Teknik,2.24,4,71.9,0.97,Cuti,6,50,0.64,3,0.76,Tinggi
S391,20,Lainnya,Ilmu Komputer,2.25,4,91.2,0.94,Lulus,13,18,0.81,9,0.85,Tinggi
S392,20,Laki-laki,Seni,3.7,5,78.9,0.88,Lulus,37,18,0.91,2,0.7,Rendah
S393,25,Perempuan,Ilmu Komputer,2.69,4,69.1,0.79,Lulus,39,72,0.85,5,0.92,Sedang
S394,25,Lainnya,Seni,2.06,6,66.6,0.81,Cuti,14,88,0.74,2,0.84,Tinggi
S395,20,Perempuan,Bisnis,2.1,6,73.3,0.99,Lulus,32,86,0.79,8,0.85,Tinggi
S396,21,Lainnya,Ilmu Komputer,2.28,4,97.6,0.99,Cuti,26,31,0.99,2,0.77,Tinggi
S397,25,Lainnya,Bisnis,2.43,6,73.7,0.69,Lulus,28,25,0.8,17,0.94,Tinggi
S398,23,Perempuan,Bisnis,3.33,4,99.5,0.92,Aktif,36,41,0.89,7,0.63,Rendah
S399,25,Lainnya,Seni,2.31,4,79.4,0.68,Lulus,4,75,0.86,7,0.69,Tinggi
S400,18,Perempuan,Seni,2.24,3,67.2,0.69,Aktif,28,23,0.85,14,0.89,Tinggi
S401,25,Lainnya,Seni,3.53,5,95.6,0.87,Aktif,31,47,0.86,12,0.75,Rendah
S402,21,Laki-laki,Ilmu Komputer,3.34,5,78.4,0.76,Aktif,5,17,0.73,6,0.94,Sedang
S403,20,Perempuan,Teknik,2.87,3,88.4,0.97,Cuti,1,30,0.74,18,0.67,Sedang
S404,18,Lainnya,Seni,3.1,3,99.3,0.64,Aktif,5,65,0.73,7,0.68,Tinggi
S405,25,Lainnya,Seni,2.62,5,62.0,0.8,Lulus,3,55,0.52,9,0.94,Sedang
S406,21,Laki-laki,Ilmu Komputer,2.97,4,63.9,0.97,Cuti,28,52,0.62,16,0.73,Sedang
S407,23,Perempuan,Seni,3.01,4,88.8,0.96,Aktif,24,55,0.58,0,0.76,Rendah
S408,25,Lainnya,Ilmu Komputer,2.77,5,71.3,0.66,Cuti,8,57,0.94,12,0.67,Tinggi
S409,21,Laki-laki,Bisnis,3.81,4,67.4,0.75,Cuti,2,79,0.64,12,0.64,Sedang
S410,23,Lainnya,Seni,2.03,3,61.6,0.85,Cuti,25,40,0.57,15,0.83,Tinggi
S411,20,Perempuan,Seni,3.56,4,60.9,0.66,Lulus,26,42,0.56,8,0.56,Tinggi
S412,25,Lainnya,Bisnis,2.25,4,91.0,0.99,Aktif,35,53,0.85,9,0.94,Tinggi
S413,23,Lainnya,Bisnis,3.6,6,65.4,0.97,Cuti,31,80,0.5,5,0.89,Rendah
S414,18,Lainnya,Bisnis,3.23,6,78.7,0.67,Cuti,0,17,0.74,4,0.6,Tinggi
S415,20,Lainnya,Seni,3.69,6,84.2,0.65,Cuti,15,82,0.56,1,0.85,Tinggi
S416,18,Laki-laki,Teknik,2.2,4,77.1,0.63,Aktif,10,11,0.92,10,0.8,Tinggi
S417,22,Laki-laki,Teknik,3.12,5,61.1,0.96,Cuti,25,26,0.98,8,0.59,Rendah
S418,19,Perempuan,Teknik,3.0,3,91.3,0.68,Cuti,39,61,0.98,5,0.64,Tinggi
S419,25,Laki-laki,Seni,3.41,4,60.4,0.77,Lulus,0,54,0.72,7,0.7,Sedang
S420,23,Laki-laki,Bisnis,3.07,5,90.5,0.78,Aktif,25,46,0.82,8,0.85,Sedang
S421,19,Perempuan,Seni,3.08,4,95.7,0.84,Lulus,27,51,0.8,8,0.82,Sedang
S422,19,Laki-laki,Bisnis,2.86,3,77.3,0.63,Aktif,8,53,0.68,7,0.77,Tinggi
S423,23,Laki-laki,Seni,2.62,4,81.4,0.69,Aktif,21,47,0.72,11,0.88,Tinggi
S424,20,Perempuan,Seni,2.96,3,79.1,0.97,Aktif,7,15,0.53,7,0.88,Sedang
S425,25,Perempuan,Bisnis,2.24,4,75.6,0.96,Lulus,26,77,0.9,2,0.81,Tinggi
S426,22,Perempuan,Teknik,3.92,3,95.5,0.91,Lulus,38,60,0.62,12,0.89,Rendah
S427,18,Lainnya,Bisnis,3.43,4,95.8,0.61,Lulus,18,44,0.73,18,0.67,Tinggi
S428,21,Lainnya,Ilmu Komputer,3.9,3,73.4,0.73,Lulus,24,67,0.74,1,0.94,Tinggi
S429,18,Perempuan,Ilmu Komputer,2.45,6,84.6,0.85,Cuti,37,66,0.78,16,0.81,Tinggi
S430,21,Perempuan,Bisnis,3.76,4,97.1,0.71,Cuti,20,82,0.91,15,0.91,Tinggi
S431,18,Perempuan,Seni,3.62,4,98.5,0.96,Cuti,23,15,0.85,3,0.77,Rendah
S432,23,Lainnya,Ilmu Komputer,3.35,5,80.4,0.85,Aktif,23,22,0.83,17,0.61,Rendah
S433,22,Lainnya,Ilmu Komputer,3.25,5,78.1,0.63,Cuti,18,68,0.76,13,0.77,Tinggi
S434,25,Laki-laki,Seni,2.63,3,71.1,0.96,Aktif,1,39,0.55,1,0.69,Sedang
S435,21,Laki-laki,Seni,3.63,4,98.4,0.98,Lulus,13,11,0.7,12,0.85,Rendah
S436,25,Perempuan,Teknik,3.0,3,65.7,0.63,Aktif,31,67,0.98,19,0.74,Tinggi
S437,25,Lainnya,Seni,2.14,6,83.2,0.81,Aktif,31,45,1.0,16,0.92,Tinggi
S438,25,Lainnya,Bisnis,2.63,5,71.3,0.72,Cuti,27,81,0.87,14,0.84,Tinggi
S439,24,Lainnya,Bisnis,3.87,3,71.2,0.76,Lulus,38,54,0.61,19,0.84,Sedang
S440,20,Perempuan,Teknik,3.7,3,76.2,0.67,Lulus,39,18,0.55,4,0.61,Tinggi
S441,18,Laki-laki,Ilmu Komputer,3.96,5,100.0,0.83,Cuti,39,74,0.71,6,0.99,Sedang
S442,25,Perempuan,Ilmu Komputer,3.26,4,62.2,0.98,Lulus,12,86,0.93,17,0.92,Rendah
S443,18,Laki-laki,Seni,2.5,3,83.1,0.8,Lulus,11,59,0.86,10,0.89,Sedang
S444,25,Laki-laki,Bisnis,2.33,5,63.3,0.63,Lulus,7,88,0.94,17,0.67,Tinggi
S445,21,Perempuan,Ilmu Komputer,2.37,4,66.2,0.85,Cuti,14,41,0.81,4,0.77,Tinggi
S446,20,Laki-laki,Teknik,2.04,6,77.6,0.74,Lulus,25,52,0.57,12,0.57,Tinggi
S447,20,Laki-laki,Teknik,2.78,5,80.4,0.94,Aktif,11,87,0.56,17,0.77,Sedang
S448,23,Lainnya,Bisnis,2.38,3,70.4,0.77,Aktif,26,63,0.52,1,0.57,Tinggi
S449,24,Laki-laki,Teknik,2.82,6,72.7,0.68,Lulus,17,56,0.78,19,0.78,Tinggi
S450,23,Perempuan,Teknik,3.87,4,63.5,0.68,Cuti,35,23,0.62,3,0.82,Tinggi
S451,23,Perempuan,Bisnis,2.86,4,72.1,0.91,Cuti,26,57,0.87,12,0.7,Sedang
S452,23,Laki-laki,Seni,3.76,5,98.7,0.71,Cuti,8,64,0.84,15,0.75,Tinggi
S453,23,Lainnya,Seni,3.21,5,97.8,0.91,Lulus,38,38,0.66,5,0.94,Rendah
S454,23,Lainnya,Teknik,2.49,5,73.4,0.68,Lulus,0,56,0.59,7,0.55,Tinggi
S455,22,Laki-laki,Seni,2.71,4,82.8,0.73,Aktif,6,72,0.55,15,0.9,Tinggi
S456,20,Laki-laki,Seni,2.17,6,96.4,0.79,Cuti,25,28,0.87,12,0.59,Tinggi
S457,23,Perempuan,Teknik,2.67,4,60.2,0.98,Aktif,6,18,0.73,3,0.52,Sedang
S458,25,Laki-laki,Seni,3.36,3,92.4,0.97,Aktif,6,46,0.66,1,0.59,Rendah
S459,20,Lainnya,Teknik,2.14,4,97.9,0.68,Cuti,7,61,0.93,8,0.88,Tinggi
S460,20,Laki-laki,Ilmu Komputer,2.41,3,63.7,0.74,Lulus,15,66,0.8,17,0.7,Tinggi
S461,19,Perempuan,Bisnis,2.76,6,66.5,0.66,Lulus,2,37,0.76,16,0.94,Tinggi
S462,22,Perempuan,Bisnis,3.96,5,98.4,0.8,Aktif,9,45,0.87,7,0.76,Sedang
S463,23,Perempuan,Seni,3.57,5,81.5,0.78,Aktif,6,73,0.91,14,0.51,Sedang
S464,18,Perempuan,Seni,3.47,4,60.6,0.96,Aktif,20,27,0.84,8,0.86,Rendah
S465,21,Perempuan,Seni,2.23,5,70.3,0.97,Aktif,36,44,0.72,16,0.56,Tinggi
S466,24,Laki-laki,Bisnis,3.56,6,78.0,0.75,Cuti,30,77,0.69,1,0.89,Sedang
S467,25,Laki-laki,Ilmu Komputer,3.57,5,87.7,0.8,Aktif,22,87,0.89,5,0.58,Sedang
S468,18,Laki-laki,Ilmu Komputer,3.2,4,89.3,0.96,Aktif,26,48,0.76,4,0.67,Rendah
S469,22,Laki-laki,Bisnis,3.98,6,99.8,0.92,Lulus,21,17,0.85,16,0.88,Rendah
S470,21,Perempuan,Ilmu Komputer,2.65,3,71.5,0.6,Lulus,38,89,0.95,1,0.98,Tinggi
S471,22,Lainnya,Bisnis,3.88,4,81.5,0.73,Lulus,26,24,0.96,17,0.69,Tinggi
S472,25,Laki-laki,Ilmu Komputer,3.83,3,81.3,0.77,Cuti,3,16,0.64,9,0.91,Sedang
S473,20,Lainnya,Teknik,2.02,6,76.2,0.69,Cuti,23,26,0.59,9,0.6,Tinggi
S474,21,Laki-laki,Teknik,2.9,4,66.8,0.68,Lulus,22,73,0.63,5,0.9,Tinggi
S475,20,Laki-laki,Bisnis,3.95,4,99.1,0.62,Lulus,18,21,0.88,11,0.83,Tinggi
S476,25,Lainnya,Ilmu Komputer,2.21,6,94.1,0.86,Aktif,2,65,0.69,16,0.6,Tinggi
S477,18,Perempuan,Seni,3.1,5,79.9,0.71,Aktif,26,55,0.59,12,0.65,Tinggi
S478,25,Laki-laki,Ilmu Komputer,3.96,4,84.1,0.62,Cuti,2,56,0.55,19,0.57,Tinggi
S479,18,Laki-laki,Teknik,3.11,4,69.1,0.69,Cuti,27,88,0.66,15,0.69,Tinggi
S480,21,Laki-laki,Teknik,2.38,3,81.8,0.92,Aktif,16,25,0.57,9,0.6,Tinggi
S481,21,Lainnya,Ilmu Komputer,3.16,5,87.8,0.94,Lulus,30,78,0.58,1,0.82,Rendah
S482,23,Perempuan,Ilmu Komputer,2.41,3,80.6,0.79,Aktif,9,11,0.84,1,1.0,Tinggi
S483,22,Lainnya,Seni,3.04,3,99.6,0.77,Cuti,21,63,0.51,6,0.51,Sedang
S484,23,Lainnya,Seni,2.15,5,84.5,0.99,Cuti,29,36,0.56,5,0.77,Tinggi
S485,22,Perempuan,Ilmu Komputer,3.21,5,74.8,0.68,Aktif,20,40,0.92,0,0.79,Tinggi
S486,23,Lainnya,Ilmu Komputer,3.03,6,90.9,0.69,Aktif,35,50,0.92,11,0.96,Tinggi
S487,20,Perempuan,Ilmu Komputer,3.48,5,66.8,0.72,Aktif,22,45,0.66,12,0.75,Tinggi
S488,21,Laki-laki,Ilmu Komputer,3.26,4,75.4,0.67,Cuti,37,56,0.54,11,0.77,Tinggi
S489,18,Perempuan,Bisnis,3.1,5,73.9,0.75,Lulus,11,52,0.85,18,0.74,Sedang
S490,22,Laki-laki,Ilmu Komputer,3.38,6,77.3,0.96,Aktif,24,74,0.68,8,0.63,Rendah
